,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1610409600000,36060.5,36615.1,32520.4,34021.1,596.923,1610495999999,20700433.6888,6806,303.073,10517584.4775,0
1,1610496000000,33877.8,37763.5,32346.7,37355.7,795.459,1610582399999,27598455.1327,10404,368.242,12780117.3856,0
2,1610582400000,37451.4,40132.9,36615.4,39091.6,868.728,1610668799999,33484566.618,12068,401.536,15454220.37,0
3,1610668800000,39164.4,39703.3,34362.0,36737.6,2282.706,1610755199999,83708966.835,38055,1105.668,40555335.2158,0
4,1610755200000,36739.0,38149.1,35299.7,35975.0,1648.074,1610841599999,60640294.4771,21578,755.681,27812715.0975,0
5,1610841600000,35990.6,36858.7,33823.5,35818.3,1700.577,1610927999999,60291445.6987,21900,855.086,30326504.6152,0
6,1610928000000,35830.4,37510.5,34704.7,36632.1,1266.43,1611014399999,45692735.9354,15918,598.058,21590557.5691,0
7,1611014400000,36660.0,37874.8,35839.9,35839.9,1252.84,1611100799999,46180543.5521,15707,605.812,22334023.2604,0
8,1611100800000,35839.9,36410.1,33358.1,35514.4,1405.307,1611187199999,49334269.3535,19203,666.207,23399604.7521,0
9,1611187200000,35523.1,35639.1,30027.0,30844.2,1335.075,1611273599999,43596989.3607,20051,579.854,19206987.7154,0
10,1611273600000,30899.6,33837.1,28797.4,32970.3,1338.973,1611359999999,42282176.4529,18711,590.48,18762530.5957,0
11,1611360000000,32964.0,33484.1,31406.3,32096.9,904.027,1611446399999,29217327.0311,12170,656.141,21237783.6748,0
12,1611446400000,32044.6,33101.3,30904.5,32274.9,899.078,1611532799999,28936762.6944,12288,542.792,17511696.4959,0
13,1611532800000,32290.6,34874.3,31896.3,32256.8,946.226,1611619199999,31575705.4075,13197,622.113,20752901.8471,0
14,1611619200000,32194.4,32934.5,30813.6,32469.3,989.389,1611705599999,31607489.4531,14492,555.368,17774110.3942,0
15,1611705600000,32457.4,32528.2,29263.5,30389.5,1073.84,1611791999999,33203797.0026,15280,712.175,22046735.7013,0
16,1611792000000,30437.1,33800.0,29827.3,33355.5,928.114,1611878399999,29471405.4499,12493,557.304,17682205.3929,0
17,1611878400000,33395.2,38617.0,31997.9,34244.5,1307.885,1611964799999,46116110.5715,24475,715.459,25129846.7538,0
18,1611964800000,34341.4,34928.5,32793.0,34279.4,832.036,1612051199999,28325830.3198,11975,531.389,18083571.0244,0
19,1612051200000,34209.5,34354.1,32188.9,33135.5,819.777,1612137599999,27377948.3716,11516,439.255,14638057.6035,0
20,1612137600000,33095.2,34745.7,32335.4,33531.0,831.755,1612223999999,28051730.9075,11456,442.526,14920509.9195,0
21,1612224000000,33523.2,36039.7,33413.8,35508.9,825.796,1612310399999,28719206.8651,11847,351.651,12155510.942,0
22,1612310400000,35505.9,37700.0,35403.1,37660.3,843.281,1612396799999,30862329.3856,11428,367.673,13522493.1526,0
23,1612396800000,37703.4,38798.1,36222.7,37031.0,1049.321,1612483199999,39384591.9024,15075,353.428,13280582.9187,0
24,1612483200000,37127.6,38443.5,36600.0,38393.7,874.495,1612569599999,32951532.3189,11413,320.559,12119885.9509,0
25,1612569600000,38393.8,41086.3,38280.3,39303.0,990.171,1612655999999,39429846.3012,14486,351.633,13973329.6078,0
26,1612656000000,39349.2,39798.6,37457.0,38898.2,991.236,1612742399999,38412631.0239,13991,378.929,14716594.345,0
27,1612742400000,38935.9,47030.0,38120.0,46362.8,1549.607,1612828799999,65739234.9249,19931,699.561,29462315.2183,0
28,1612828800000,46534.6,48266.9,45057.7,46545.3,1409.686,1612915199999,65883866.2905,23205,400.552,18737365.3196,0
29,1612915200000,46541.1,47498.4,43750.1,44884.2,1385.713,1613001599999,63396802.1315,22755,360.824,16495199.9396,0
30,1613001600000,44918.0,48880.0,44129.2,48078.8,1241.377,1613087999999,57927483.1625,17527,306.579,14411303.7241,0
31,1613088000000,48111.0,49300.8,46246.4,47451.2,1257.316,1613174399999,60027472.8344,17198,404.043,19309797.5769,0
32,1613174400000,47406.8,48319.1,46268.5,47290.0,921.891,1613260799999,43610888.6126,13027,273.233,12925847.7848,0
33,1613260800000,47320.0,49896.7,47170.0,48704.2,1192.627,1613347199999,58029478.0427,15350,329.9,16000299.0682,0
34,1613347200000,48730.1,49160.0,45905.0,47977.0,957.654,1613433599999,45814173.1635,13665,398.451,19108498.4628,0
